Obs,TOT_QTY,PRICE,Ln_Tot_Qty,Ln_Price,YEAR,MONTH,STATE,CHANNEL,PRODUCTS
1,131,89,4.875197323,4.48863637,year2009,month12,WEST_BENGAL,DOM_MGD_HOSP,THREE_PIECE
2,1028,89,6.935370446,4.48863637,year2009,month12,WEST_BENGAL,DOM_MGD_HOSP,SINGLE_PIECE
3,90,842,4.49980967,6.735780014,year2009,month12,WEST_BENGAL,DOM_LARGE_NPO,AUROFLEX_FOLD
4,10,149,2.302585093,5.003946306,year2009,month12,WEST_BENGAL,DOM_DEALER,TRUEDGE
5,1212,124,7.100027167,4.820281566,year2009,month12,WEST_BENGAL,DOM_DEALER,SINGLE_PIECE
6,1420,69,7.258412151,4.234106505,year2009,month12,WEST_BENGAL,DOM_DEALER,REVISION
7,13,1485,2.564949357,7.303170051,year2009,month12,WEST_BENGAL,DOM_DEALER,AUROVUE
8,318,594,5.762051383,6.386879319,year2009,month12,WEST_BENGAL,DOM_DEALER,AUROFLEX_FOLD
9,15,990,2.708050201,6.897704943,year2009,month12,WEST_BENGAL,DOM_DEALER,AUROFLEX_EV
10,18,149,2.890371758,5.003946306,year2009,month12,UTTARANCHAL,DOM_DEALER,TRUEDGE
11,575,124,6.354370041,4.820281566,year2009,month12,UTTARANCHAL,DOM_DEALER,SINGLE_PIECE
12,13,1485,2.564949357,7.303170051,year2009,month12,UTTARANCHAL,DOM_DEALER,AUROVUE
13,49,594,3.891820298,6.386879319,year2009,month12,UTTARANCHAL,DOM_DEALER,AUROFLEX_FOLD
14,20,223,2.995732274,5.407171771,year2009,month12,UTTAR_PRADESH,DOM_MGD_HOSP,CTR
15,725,89,6.586171655,4.48863637,year2009,month12,UTTAR_PRADESH,DOM_MGD_HOSP,THREE_PIECE
16,740,89,6.606650186,4.48863637,year2009,month12,UTTAR_PRADESH,DOM_MGD_HOSP,SINGLE_PIECE
17,320,594,5.768320996,6.386879319,year2009,month12,UTTAR_PRADESH,DOM_MGD_HOSP,AUROFLEX_FOLD
18,100,347,4.605170186,5.84932478,year2009,month12,UTTAR_PRADESH,DOM_LARGE_NPO,CTR
19,3944,114.6,8.279950716,4.741447804,year2009,month12,UTTAR_PRADESH,DOM_LARGE_NPO,SINGLE_PIECE
20,1988,69,7.594884387,4.234106505,year2009,month12,UTTAR_PRADESH,DOM_LARGE_NPO,REVISION
21,32,470,3.465735903,6.152732695,year2009,month12,UTTAR_PRADESH,DOM_LARGE_NPO,NEGATIVE_POWER
22,25,842,3.218875825,6.735780014,year2009,month12,UTTAR_PRADESH,DOM_LARGE_NPO,AUROFLEX_FOLD
23,84,89,4.430816799,4.48863637,year2009,month12,UTTAR_PRADESH,DOM_GOVT_OTHERS,SINGLE_PIECE
24,271,89,5.602118821,4.48863637,year2009,month12,UTTAR_PRADESH,DOM_GOVT_OTHERS,REVISION
25,985,149,6.892641641,5.003946306,year2009,month12,UTTAR_PRADESH,DOM_DEALER,TRUEDGE
